playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Javier Flaño,Right-Back,Retired,free transfer,35,1
José Izquierdo,Right-Back,Retired,?,32,1
Juanma Ortiz,Right-Back,Without Club,free transfer,40,2
Enrique Corrales,Left-Back,Retired,-,34,0
Carlos Cuéllar,Centre-Back,Retired,-,38,0
Josetxo,Centre-Back,Retired,free transfer,35,1
César Cruchaga,Centre-Back,Retired,-,35,12
Miguel Flaño,Centre-Back,Retired,free transfer,35,0
Roberto Santamaría,Goalkeeper,CD Tudelano,free transfer,37,1
Ricardo,Goalkeeper,Retired,-,41,0
Víctor Casadesús,Centre-Forward,AC Escaldes,free transfer,37,1
Yordi,Centre-Forward,Retired,?,35,1
Lampros Choutos,Centre-Forward,Retired,free transfer,30,1
Tuni,Right Winger,Retired,free transfer,34,3
Cristiano Doni,Attacking Midfield,Retired,free transfer,39,6
Alejandro Campano,Right Midfield,Retired,free transfer,33,1
Bernat Alomar,Central Midfield,CE Andratx,-,35,1
Jonás Gutiérrez,Central Midfield,Retired,free transfer,39,1
Guillermo Pereyra,Central Midfield,Retired,free transfer,31,1
Borja Fernández,Defensive Midfield,Retired,free transfer,38,2
Angelos Basinas,Defensive Midfield,Retired,free transfer,34,0
Rafita,Right-Back,Calpe,?,39,0
Fernando Navarro,Left-Back,Retired,free transfer,36,3
José Rodríguez,Centre-Back,Salamanca CF,free transfer,37,2
Mark Iuliano,Centre-Back,Retired,-,35,0
Sergio Ballesteros,Centre-Back,Retired,free transfer,38,5
José Nunes,Centre-Back,Retired,€2.50m,37,8
Alessandro Potenza,Centre-Back,Retired,?,33,1
Toni Prats,Goalkeeper,Retired,free transfer,37,1
Fernando Llorente,Centre-Forward,Without Club,-,37,1
Ismael Urzaiz,Centre-Forward,Retired,free transfer,37,1
Aritz Aduriz,Centre-Forward,Retired,€2.50m,39,8
Joseba Etxeberria,Right Winger,Retired,€3.00m,33,15
Urko Arroyo,Left Winger,Real Jaén CF,-,35,2
