position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam,gamesPlayedLastYear,gamesPlayedLast2Year,gamesPlayedLast3Year,injurysLast3Year
Defensive Midfield,Retired,free transfer,36,2,19,37,3,1
Defensive Midfield,Retired,free transfer,37,2,19,31,17,5
Left-Back,Retired,free transfer,38,2,26,23,33,2
Centre-Back,Retired,free transfer,33,2,29,20,10,0
Right Winger,Retired,free transfer,36,2,1,2,19,0
Left Winger,Retired,free transfer,34,2,12,23,36,0
Attacking Midfield,Retired,free transfer,33,2,2,11,25,0
Attacking Midfield,Retired,free transfer,38,2,7,30,29,1
Centre-Back,Retired,free transfer,31,1,5,20,33,0
Centre-Back,Retired,free transfer,35,1,28,12,25,0
Centre-Forward,Retired,free transfer,37,1,24,23,19,1
Attacking Midfield,Retired,free transfer,36,1,1,1,27,7
Attacking Midfield,Retired,free transfer,38,1,6,30,28,0
Right Midfield,Retired,free transfer,37,2,13,18,8,2
Centre-Forward,Retired,free transfer,39,1,26,31,30,0
Centre-Forward,Retired,free transfer,37,1,6,19,3,3
Left Winger,Retired,free transfer,34,1,16,31,26,0
Attacking Midfield,Retired,free transfer,38,3,26,40,36,3
Defensive Midfield,Retired,free transfer,39,1,20,29,27,1
Left-Back,Retired,free transfer,33,2,4,33,39,2
Centre-Back,Retired,free transfer,32,1,2,23,13,0
Centre-Back,Retired,free transfer,33,1,10,34,26,2
Centre-Back,Retired,free transfer,35,5,2,26,20,0
Centre-Back,Retired,free transfer,36,4,32,29,28,1
Centre-Back,Retired,free transfer,31,2,11,12,12,1
Centre-Back,Retired,free transfer,35,3,32,24,24,2
Goalkeeper,Retired,free transfer,34,5,9,17,7,2
Centre-Forward,Retired,free transfer,38,1,21,22,29,0
Attacking Midfield,Retired,free transfer,33,1,3,29,19,0
Attacking Midfield,Retired,free transfer,38,2,27,38,20,2
Right Midfield,Retired,free transfer,35,1,4,7,30,0
Defensive Midfield,Retired,free transfer,34,3,16,33,7,1
Defensive Midfield,Retired,free transfer,38,2,4,30,31,0
Right-Back,Retired,free transfer,32,1,8,1,17,0
Right-Back,Retired,free transfer,37,1,28,10,34,1
Left-Back,Retired,free transfer,38,12,14,27,27,1
Goalkeeper,Retired,free transfer,36,17,2,13,15,0
Left-Back,Retired,free transfer,32,1,9,12,26,1
Left-Back,Retired,free transfer,32,12,4,14,36,1
Goalkeeper,Retired,free transfer,33,1,2,8,21,0
Goalkeeper,Retired,free transfer,35,2,3,1,6,0
Goalkeeper,Retired,free transfer,35,1,1,13,17,0
Centre-Forward,Retired,free transfer,33,2,11,10,26,0
Left Midfield,Retired,free transfer,38,2,5,17,25,0
midfield,Retired,free transfer,35,3,8,6,21,0
Right-Back,Retired,free transfer,33,1,1,17,21,0
Left-Back,Retired,free transfer,33,2,1,18,30,1
Left-Back,Retired,free transfer,39,2,7,33,31,0
Centre-Back,Retired,free transfer,30,2,13,16,25,0
Centre-Back,Retired,free transfer,38,1,3,13,28,2
